step,train_loss,eval_loss,lr
1,4.270528,,3.33333e-07
2,4.326586,,6.66667e-07
3,4.553669,,1e-06
4,4.491300,,1.33333e-06
5,4.741630,,1.66667e-06
6,4.952251,,2e-06
7,3.586989,,2.33333e-06
8,3.825323,,2.66667e-06
9,3.795802,,3e-06
10,4.451448,,3.33333e-06
11,3.829068,,3.66667e-06
12,3.378975,,4e-06
13,4.034061,,4.33333e-06
14,4.981073,,4.66667e-06
15,4.193000,,5e-06
16,3.586802,,5.33333e-06
17,3.855221,,5.66667e-06
18,3.445843,,6e-06
19,3.134811,,6.33333e-06
20,3.652372,,6.66667e-06
21,3.520068,,7e-06
22,4.089990,,7.33333e-06
23,4.026767,,7.66667e-06
24,3.575248,,8e-06
25,3.615840,,8.33333e-06
26,3.406584,,8.66667e-06
27,3.044542,,9e-06
28,3.487459,,9.33333e-06
29,3.938226,,9.66667e-06
30,3.690595,,1e-05
31,3.626959,,1.03333e-05
32,3.571787,,1.06667e-05
33,3.639171,,1.1e-05
34,3.519249,,1.13333e-05
35,3.341209,,1.16667e-05
36,3.375355,,1.2e-05
37,3.517200,,1.23333e-05
38,2.923937,,1.26667e-05
39,3.150409,,1.3e-05
40,3.696104,,1.33333e-05
41,3.593753,,1.36667e-05
42,3.534991,,1.4e-05
43,3.546247,,1.43333e-05
44,3.733908,,1.46667e-05
45,4.069211,,1.5e-05
46,3.777266,,1.53333e-05
47,3.398333,,1.56667e-05
48,3.913732,,1.6e-05
49,3.556833,,1.63333e-05
50,3.787812,,1.66667e-05
51,3.226803,,1.7e-05
52,2.833202,,1.73333e-05
53,2.427242,,1.76667e-05
54,2.642671,,1.8e-05
55,3.159318,,1.83333e-05
56,3.011371,,1.86667e-05
57,2.736470,,1.9e-05
58,2.994987,,1.93333e-05
59,3.169517,,1.96667e-05
60,3.150572,,2e-05
61,3.181814,,2.03333e-05
62,3.458179,,2.06667e-05
63,3.239563,,2.1e-05
64,3.068661,,2.13333e-05
65,2.847575,,2.16667e-05
66,2.434247,,2.2e-05
67,3.510439,,2.23333e-05
68,3.260599,,2.26667e-05
69,3.039461,,2.3e-05
70,2.939083,,2.33333e-05
71,2.975249,,2.36667e-05
72,2.990166,,2.4e-05
73,3.367283,,2.43333e-05
74,3.031300,,2.46667e-05
75,3.267132,,2.5e-05
76,3.448318,,2.53333e-05
77,3.328149,,2.56667e-05
78,2.979700,,2.6e-05
79,2.672128,,2.63333e-05
80,2.767272,,2.66667e-05
81,2.826739,,2.7e-05
82,3.163038,,2.73333e-05
83,2.775454,,2.76667e-05
84,3.264993,,2.8e-05
85,2.810346,,2.83333e-05
86,2.876882,,2.86667e-05
87,3.389271,,2.9e-05
88,3.606837,,2.93333e-05
89,3.631755,,2.96667e-05
90,3.516372,,3e-05
91,3.289693,,3.03333e-05
92,3.705376,,3.06667e-05
93,3.529683,,3.1e-05
94,3.168393,,3.13333e-05
95,2.751067,,3.16667e-05
96,3.839284,,3.2e-05
97,3.720121,,3.23333e-05
98,3.490137,,3.26667e-05
99,2.752065,,3.3e-05
100,2.941556,,3.33333e-05
101,2.998476,,3.36667e-05
102,2.691024,,3.4e-05
103,2.566464,,3.43333e-05
104,2.974112,,3.46667e-05
105,3.678621,,3.5e-05
106,3.563586,,3.53333e-05
107,2.441580,,3.56667e-05
108,2.495416,,3.6e-05
109,3.235043,,3.63333e-05
110,3.812528,,3.66667e-05
111,3.558143,,3.7e-05
112,3.246338,,3.73333e-05
113,2.823802,,3.76667e-05
114,3.528532,,3.8e-05
115,2.188129,,3.83333e-05
116,3.146076,,3.86667e-05
117,2.740520,,3.9e-05
118,2.769377,,3.93333e-05
119,3.127825,,3.96667e-05
120,3.235959,,4e-05
121,3.577496,,4.03333e-05
122,3.220835,,4.06667e-05
123,3.336888,,4.1e-05
124,3.496456,,4.13333e-05
125,3.768830,,4.16667e-05
126,3.712230,,4.2e-05
127,2.747017,,4.23333e-05
128,3.298801,,4.26667e-05
129,3.542905,,4.3e-05
130,2.785696,,4.33333e-05
131,2.217763,,4.36667e-05
132,3.102632,,4.4e-05
133,2.732757,,4.43333e-05
134,2.827039,,4.46667e-05
135,2.782870,,4.5e-05
136,3.097224,,4.53333e-05
137,2.542106,,4.56667e-05
138,3.079808,,4.6e-05
139,2.711589,,4.63333e-05
140,2.966013,,4.66667e-05
141,3.181340,,4.7e-05
142,3.229486,,4.73333e-05
143,2.429397,,4.76667e-05
144,2.371371,,4.8e-05
145,2.555933,,4.83333e-05
146,2.938464,,4.86667e-05
147,3.243424,,4.9e-05
148,2.831287,,4.93333e-05
149,3.451553,,4.96667e-05
150,3.292979,,5e-05
151,3.396369,,5.03333e-05
152,3.575202,,5.06667e-05
153,3.485732,,5.1e-05
154,3.304044,,5.13333e-05
155,3.581178,,5.16667e-05
156,3.100909,,5.2e-05
157,2.841839,,5.23333e-05
158,3.557699,,5.26667e-05
159,3.397719,,5.3e-05
160,3.245746,,5.33333e-05
161,3.551744,,5.36667e-05
162,3.259315,,5.4e-05
163,3.517540,,5.43333e-05
164,3.405274,,5.46667e-05
165,3.227387,,5.5e-05
166,3.386742,,5.53333e-05
167,3.258039,,5.56667e-05
168,2.759651,,5.6e-05
169,3.125328,,5.63333e-05
170,3.113901,,5.66667e-05
171,3.213318,,5.7e-05
172,3.243624,,5.73333e-05
173,3.044541,,5.76667e-05
174,2.900342,,5.8e-05
175,3.253858,,5.83333e-05
176,3.284600,,5.86667e-05
177,3.055689,,5.9e-05
178,2.866994,,5.93333e-05
179,2.853802,,5.96667e-05
180,3.103058,,6e-05
181,3.446364,,6.03333e-05
182,3.020681,,6.06667e-05
183,3.110792,,6.1e-05
184,2.928029,,6.13333e-05
185,3.179008,,6.16667e-05
186,3.220548,,6.2e-05
187,2.802348,,6.23333e-05
188,3.083246,,6.26667e-05
189,3.109000,,6.3e-05
190,3.076118,,6.33333e-05
191,3.289361,,6.36667e-05
192,3.127412,,6.4e-05
193,3.122910,,6.43333e-05
194,3.415159,,6.46667e-05
195,3.347823,,6.5e-05
196,3.082384,,6.53333e-05
197,2.960988,,6.56667e-05
198,3.215440,,6.6e-05
199,3.051625,,6.63333e-05
200,2.717152,,6.66667e-05
201,2.786482,,6.7e-05
202,2.854105,,6.73333e-05
203,3.065812,,6.76667e-05
204,3.411443,,6.8e-05
205,3.619460,,6.83333e-05
206,3.656936,,6.86667e-05
207,3.591407,,6.9e-05
208,3.239058,,6.93333e-05
209,3.639518,,6.96667e-05
210,3.717804,,7e-05
211,4.074739,,7.03333e-05
212,4.179489,,7.06667e-05
213,3.435347,,7.1e-05
214,3.329922,,7.13333e-05
215,3.402874,,7.16667e-05
216,3.132069,,7.2e-05
217,3.517397,,7.23333e-05
218,3.084772,,7.26667e-05
219,3.916339,,7.3e-05
220,3.245273,,7.33333e-05
221,3.159681,,7.36667e-05
222,2.996570,,7.4e-05
223,2.449950,,7.43333e-05
224,3.154922,,7.46667e-05
225,3.594828,,7.5e-05
226,3.184334,,7.53333e-05
227,2.898113,,7.56667e-05
228,2.717156,,7.6e-05
229,2.925593,,7.63333e-05
230,3.079463,,7.66667e-05
231,3.509458,,7.7e-05
232,3.573168,,7.73333e-05
233,3.517835,,7.76667e-05
234,3.351649,,7.8e-05
235,3.300668,,7.83333e-05
236,2.695670,,7.86667e-05
237,3.643436,,7.9e-05
238,3.391981,,7.93333e-05
239,3.172665,,7.96667e-05
240,3.018146,,8e-05
241,3.040086,,8.03333e-05
242,2.863143,,8.06667e-05
243,3.129727,,8.1e-05
244,3.233347,,8.13333e-05
245,2.733846,,8.16667e-05
246,3.539378,,8.2e-05
247,3.673430,,8.23333e-05
248,3.771803,,8.26667e-05
249,3.394698,,8.3e-05
250,3.682404,3.438012,8.33333e-05
251,3.820217,,8.36667e-05
252,3.447969,,8.4e-05
253,2.616920,,8.43333e-05
254,2.428236,,8.46667e-05
255,1.890766,,8.5e-05
256,2.640102,,8.53333e-05
257,2.876966,,8.56667e-05
258,2.560947,,8.6e-05
259,3.058031,,8.63333e-05
260,3.025589,,8.66667e-05
261,2.847012,,8.7e-05
262,3.375386,,8.73333e-05
263,3.086612,,8.76667e-05
264,3.049414,,8.8e-05
265,3.255786,,8.83333e-05
266,2.808820,,8.86667e-05
267,3.222502,,8.9e-05
268,3.649260,,8.93333e-05
269,3.079248,,8.96667e-05
270,3.635796,,9e-05
271,2.584304,,9.03333e-05
272,3.150146,,9.06667e-05
273,3.452860,,9.1e-05
274,3.226368,,9.13333e-05
275,3.255586,,9.16667e-05
276,3.497557,,9.2e-05
277,3.832494,,9.23333e-05
278,3.151536,,9.26667e-05
279,3.406395,,9.3e-05
280,3.616059,,9.33333e-05
281,3.111195,,9.36667e-05
282,2.835043,,9.4e-05
283,3.206760,,9.43333e-05
284,3.573201,,9.46667e-05
285,3.429769,,9.5e-05
286,3.099108,,9.53333e-05
287,3.365220,,9.56667e-05
288,2.745646,,9.6e-05
289,3.204199,,9.63333e-05
290,2.880698,,9.66667e-05
291,2.947186,,9.7e-05
292,3.126295,,9.73333e-05
293,3.463180,,9.76667e-05
294,2.443873,,9.8e-05
295,2.630178,,9.83333e-05
296,2.932529,,9.86667e-05
297,3.343365,,9.9e-05
298,3.594107,,9.93333e-05
299,3.558297,,9.96667e-05
300,3.320904,,0.0001
301,3.458447,,0.0001
302,3.039094,,0.0001
303,3.175656,,0.0001
304,3.189951,,0.0001
305,3.200489,,9.99999e-05
306,3.285485,,9.99999e-05
307,3.058152,,9.99999e-05
308,3.273325,,9.99998e-05
309,3.049653,,9.99998e-05
310,2.898771,,9.99997e-05
311,3.480222,,9.99997e-05
312,2.975384,,9.99996e-05
313,2.996043,,9.99996e-05
314,3.040380,,9.99995e-05
315,3.559076,,9.99994e-05
316,3.519043,,9.99993e-05
317,3.448364,,9.99992e-05
318,3.248538,,9.99992e-05
319,3.337609,,9.99991e-05
320,3.158410,,9.9999e-05
321,3.186731,,9.99988e-05
322,2.821241,,9.99987e-05
323,3.609398,,9.99986e-05
324,3.073872,,9.99985e-05
325,3.095663,,9.99984e-05
326,2.708359,,9.99982e-05
327,3.597076,,9.99981e-05
328,2.992278,,9.99979e-05
329,3.353035,,9.99978e-05
330,3.310802,,9.99976e-05
331,3.468767,,9.99975e-05
332,3.094028,,9.99973e-05
333,2.915127,,9.99971e-05
334,3.263046,,9.9997e-05
335,3.486841,,9.99968e-05
336,3.222707,,9.99966e-05
337,3.689096,,9.99964e-05
338,3.418088,,9.99962e-05
339,3.520845,,9.9996e-05
340,3.443194,,9.99958e-05
341,3.431404,,9.99956e-05
342,3.086535,,9.99954e-05
343,3.258613,,9.99952e-05
344,3.677201,,9.99949e-05
345,3.673199,,9.99947e-05
346,3.289413,,9.99945e-05
347,3.300089,,9.99942e-05
348,3.214591,,9.9994e-05
349,4.345717,,9.99937e-05
350,3.053010,,9.99934e-05
351,2.880573,,9.99932e-05
352,2.591326,,9.99929e-05
353,2.528428,,9.99926e-05
354,3.112941,,9.99924e-05
355,2.703159,,9.99921e-05
356,3.377194,,9.99918e-05
357,3.521678,,9.99915e-05
358,3.541186,,9.99912e-05
359,3.360561,,9.99909e-05
360,3.442863,,9.99906e-05
361,3.473405,,9.99902e-05
362,3.330806,,9.99899e-05
363,3.646913,,9.99896e-05
364,3.276592,,9.99893e-05
365,3.060238,,9.99889e-05
366,3.361526,,9.99886e-05
367,3.301852,,9.99882e-05
368,3.016402,,9.99879e-05
