step,step_int,loss,checkpoint
500,500,3.8222,verbalizer_step_500
1000,1000,3.5043,verbalizer_step_1000
1500,1500,3.6017,verbalizer_step_1500
2000,2000,3.5658,verbalizer_step_2000
2500,2500,3.4264,verbalizer_step_2500
3000,3000,3.2838,verbalizer_step_3000
3500,3500,3.404,verbalizer_step_3500
4000,4000,3.2964,verbalizer_step_4000
4500,4500,3.4772,verbalizer_step_4500
5000,5000,3.5124,verbalizer_step_5000
5500,5500,3.2693,verbalizer_step_5500
6000,6000,3.3105,verbalizer_step_6000
6500,6500,3.2016,verbalizer_step_6500
7000,7000,3.3008,verbalizer_step_7000
7500,7500,3.5671,verbalizer_step_7500
8000,8000,3.2901,verbalizer_step_8000
8500,8500,3.4263,verbalizer_step_8500
9000,9000,3.2065,verbalizer_step_9000
9500,9500,3.5509,verbalizer_step_9500
10000,10000,3.3113,verbalizer_step_10000
10500,10500,3.3019,verbalizer_step_10500
11000,11000,3.4048,verbalizer_step_11000
11500,11500,3.2455,verbalizer_step_11500
12000,12000,3.2433,verbalizer_step_12000
12500,12500,3.2621,verbalizer_step_12500
13000,13000,3.3042,verbalizer_step_13000
13500,13500,3.2512,verbalizer_step_13500
14000,14000,3.2736,verbalizer_step_14000
14500,14500,3.3494,verbalizer_step_14500
15000,15000,3.4179,verbalizer_step_15000
15500,15500,3.1464,verbalizer_step_15500
16000,16000,3.181,verbalizer_step_16000
16500,16500,3.2881,verbalizer_step_16500
17000,17000,3.4163,verbalizer_step_17000
17500,17500,3.6373,verbalizer_step_17500
18000,18000,3.2931,verbalizer_step_18000
18500,18500,3.3904,verbalizer_step_18500
19000,19000,3.1822,verbalizer_step_19000
19500,19500,3.2138,verbalizer_step_19500
20000,20000,3.4015,verbalizer_step_20000
final,,3.4015,verbalizer_final
